date,equity_open,buy_value,sell_value,traded_value,turnover,buy_count,sell_count,target_weight_sum
2022-01-10,1000000.0,442808.3053632111,0.0,442808.3053632111,0.4428083053632111,3,0,0.44999999999999996
2022-01-17,1016802.2824705477,7040.385598627556,16304.904530467533,23345.29012909509,0.022959517825208366,1,2,0.44999999999999996
2022-01-24,1014643.7420544685,3618.098914003445,1057.0995412718817,4675.1984552753265,0.004607724131633535,1,1,0.44999999999999996
2022-01-31,1032903.4967987771,0.0,10818.544620638202,10818.544620638202,0.01047391615399458,0,2,0.44999999999999996
2022-02-07,1035336.9638111787,13506.322753606975,14793.31033477592,28299.633088382896,0.02733374164891121,1,2,0.44999999999999996
2022-02-14,1035471.9103232054,17215.02697207914,12493.029635959132,29708.05660803827,0.02869035491147741,2,1,0.44999999999999996
2022-02-21,1037444.8103786116,0.0,5738.788590345126,5738.788590345126,0.005531656752180173,0,2,0.44999999999999996
2022-02-28,1035552.9559147656,6099.246536042894,3884.0543932647897,9983.300929307683,0.009640550849945514,1,1,0.44999999999999996
2022-03-07,1023541.1023613317,8590.434408237237,5304.642479628487,13895.076887865725,0.013575494775744207,1,1,0.44999999999999996
2022-03-14,1021954.3749638097,5576.201650889234,4074.776556111269,9650.978207000502,0.009443648800214071,1,1,0.44999999999999996
2022-03-21,1027726.8179328628,1354.6862979930834,7729.544554563925,9084.230852557008,0.008839149367366654,1,1,0.44999999999999996
2022-03-28,1023658.0195104927,6729.925556002558,0.0,6729.925556002558,0.006574388543569237,2,0,0.44999999999999996
2022-04-04,1021226.655000019,8938.284219885434,5484.296432702781,14422.580652588214,0.014122800831699743,2,1,0.44999999999999996
2022-04-11,1003977.2008955603,9737.519899419704,0.0,9737.519899419704,0.009698945245702506,2,0,0.44999999999999996
2022-04-18,1005415.4418774472,3814.739105559006,2722.9505302340817,6537.689635793087,0.0065024758557368405,1,1,0.44999999999999996
2022-04-25,992595.4865025912,2480.2136396971646,0.0,2480.2136396971646,0.002498715411689201,1,0,0.44999999999999996
2022-05-02,988612.6956073192,0.0,435776.9274023132,435776.9274023132,0.44079641030161876,0,3,0.0
2022-05-09,987828.1881392639,439570.5822681088,0.0,439570.5822681088,0.4449868788378189,3,0,0.44999999999999996
2022-05-16,975951.0875282962,0.0,427611.44015540567,427611.44015540567,0.4381484334818242,0,3,0.0
2022-05-23,975181.2799796782,0.0,0.0,0.0,0.0,0,0,0.0
2022-05-30,975181.2799796782,0.0,0.0,0.0,0.0,0,0,0.0
2022-06-06,975181.2799796782,434994.5342845006,0.0,434994.5342845006,0.4460653041797166,3,0,0.44999999999999996
2022-06-13,956656.4272572823,0.0,416391.8798324287,416391.8798324287,0.4352574947164858,0,3,0.0
2022-06-20,955906.817723539,0.0,0.0,0.0,0.0,0,0,0.0
2022-06-27,955906.817723539,0.0,0.0,0.0,0.0,0,0,0.0
2022-07-04,955906.817723539,426256.8572837426,0.0,426256.8572837426,0.44591883788302655,3,0,0.44999999999999996
2022-07-11,956806.3938333953,11426.895132050973,12681.192620131302,24108.087752182277,0.025196411633072884,2,1,0.44999999999999996
2022-07-18,960721.1669340545,5144.3133108112725,6043.204639056146,11187.517949867419,0.011644916688543564,1,2,0.44999999999999996
2022-07-25,939933.5097323065,0.0,408083.40683703346,408083.40683703346,0.43416199402578576,0,3,0.0
2022-08-01,939198.8575281121,0.0,0.0,0.0,0.0,0,0,0.0
2022-08-08,939198.8575281121,0.0,0.0,0.0,0.0,0,0,0.0
2022-08-15,939198.8575281121,0.0,0.0,0.0,0.0,0,0,0.0
