date,symbol,side,price,shares,gross_value,fee,tax,cost_basis,realized_pnl,slippage_rate,close
2022-01-10,000001,BUY,8.790811984876305,22700,199551.4320566921,59.86542961700763,0.0,0.0,0.0,0.0005,8.893868548820626
2022-01-10,000858,BUY,26.626453752517588,7500,199698.4031438819,59.909520943164566,0.0,0.0,0.0,0.0005,26.50067845813569
2022-01-10,000333,BUY,101.24984108870078,1900,192374.69806853146,57.71240942055943,0.0,0.0,0.0,0.0005,100.41870313259992
2022-01-10,002594,BUY,120.24902193442766,1600,192398.43509508425,57.71953052852527,0.0,0.0,0.0,0.0005,119.23471951905098
2022-01-10,300750,BUY,36.14115263204398,5500,198776.3394762419,59.63290184287256,0.0,0.0,0.0,0.0005,35.25656944856731
2022-01-17,000001,SELL,9.071105095910141,22700,205914.0856771602,61.774225703148055,205.91408567716022,199551.4320566921,6094.965309087798,0.0005,9.251514346987204
2022-01-17,000858,SELL,27.077717030045243,7500,203082.87772533932,60.92486331760179,203.08287772533933,199698.4031438819,3120.466840414476,0.0005,27.39810999300024
2022-01-17,601318,BUY,83.78607812442887,2300,192707.9796861864,57.81239390585591,0.0,0.0,0.0,0.0005,80.41172397925473
2022-01-17,600036,BUY,41.379509642621166,4700,194483.69532031947,58.345108596095834,0.0,0.0,0.0,0.0005,42.0244970872376
2022-01-17,000333,BUY,92.7935605581033,200,18558.712111620658,5.5676136334861965,0.0,0.0,0.0,0.0005,93.5488669631505
2022-01-24,600036,SELL,42.1685883618002,4700,198192.36530046092,59.45770959013827,198.19236530046092,194483.69532031947,3451.0199052508397,0.0005,41.66230381212234
2022-01-24,300750,SELL,36.839094397321986,5500,202615.0191852709,60.784505755581264,202.6150191852709,198776.3394762419,3575.2801840881584,0.0005,36.87061898737399
2022-01-24,601318,BUY,78.59849398021679,100,7859.849398021679,2.3579548194065034,0.0,0.0,0.0,0.0005,76.87507393825652
2022-01-24,000333,BUY,87.46000577961851,100,8746.000577961851,2.623800173388555,0.0,0.0,0.0,0.0005,86.78595216937852
2022-01-24,600900,BUY,71.55843141325722,2700,193207.7648157945,57.962329444738344,0.0,0.0,0.0,0.0005,70.7351817830315
2022-01-24,601888,BUY,63.83314697475072,3000,191499.44092425215,57.44983227727564,0.0,0.0,0.0,0.0005,62.61821035486253
2022-01-31,601318,SELL,74.86421236167031,2400,179674.10966800875,53.90223290040262,179.67410966800875,200567.82908420806,-21127.295758767723,0.0005,75.23658676634541
2022-01-31,000333,SELL,85.36819916536997,100,8536.819916536997,2.561045974961099,8.536819916536997,10124.984108870078,-1599.2620582245781,0.0005,86.81058100382782
2022-01-31,600900,SELL,72.78094612022285,2700,196508.5545246017,58.952566357380505,196.5085545246017,193207.7648157945,3045.328587925207,0.0005,72.72035007810045
2022-01-31,000001,BUY,9.427492745933375,19800,186664.3563694808,55.99930691084424,0.0,0.0,0.0,0.0005,9.492399456217507
2022-01-31,600036,BUY,39.05050376105803,4700,183537.36767697276,55.061210303091826,0.0,0.0,0.0,0.0005,39.315368113063855
2022-01-31,002594,BUY,109.31127516607339,100,10931.12751660734,3.2793382549822017,0.0,0.0,0.0,0.0005,108.48958067363762
2022-01-31,601888,BUY,58.86072768627869,100,5886.07276862787,1.7658218305883608,0.0,0.0,0.0,0.0005,60.04003552651318
2022-02-07,600036,SELL,38.76039027788381,4700,182173.8343060539,54.65215029181617,182.17383430605392,183537.36767697276,-1600.3593555167026,0.0005,38.736344888144366
2022-02-07,000333,SELL,82.10562734902084,2100,172421.81743294376,51.72654522988312,172.42181743294375,209554.42664924392,-37356.75757896298,0.0005,83.60510417786278
2022-02-07,002594,SELL,113.17490667640139,100,11317.490667640139,3.3952472002920415,11.31749066764014,12024.902193442766,-722.1242636705592,0.0005,111.59598700566607
2022-02-07,000001,BUY,9.123490955951961,500,4561.745477975981,1.368523643392794,0.0,0.0,0.0,0.0005,9.16188571237396
2022-02-07,000858,BUY,29.934055237590258,6100,182597.73694930057,54.77932108479017,0.0,0.0,0.0,0.0005,29.814487531724573
2022-02-07,600900,BUY,70.81056490820812,2600,184107.46876134112,55.23224062840233,0.0,0.0,0.0,0.0005,72.4655589680471
2022-02-14,600900,SELL,75.44453336752053,200,15088.906673504107,4.526672002051232,15.088906673504107,14162.112981641625,907.1781131869266,0.0005,75.75413518799844
2022-02-14,601888,SELL,57.63475473732407,3100,178667.73968570464,53.60032190571139,178.66773968570465,197385.51369288002,-18950.04206876681,0.0005,56.86065349173593
2022-02-14,000001,BUY,9.02243305094322,300,2706.7299152829664,0.8120189745848898,0.0,0.0,0.0,0.0005,8.921732003868616
2022-02-14,000858,BUY,29.512003524757915,200,5902.400704951583,1.7707202114854748,0.0,0.0,0.0,0.0005,29.816853113094872
2022-02-14,600036,BUY,38.59300524136045,4800,185246.42515853015,55.573927547559045,0.0,0.0,0.0,0.0005,38.43603856453891
2022-02-21,000001,SELL,8.942607058634882,20600,184217.7054078786,55.26531162236357,184.21770540787858,193932.83176273978,-9954.60937189142,0.0005,8.752413045105847
2022-02-21,600036,SELL,40.82753771852015,4800,195972.18104889672,58.79165431466901,195.97218104889672,185246.42515853015,10470.992055003007,0.0005,39.95150416497567
2022-02-21,600519,BUY,44.97248383485676,4000,179889.93533942703,53.966980601828105,0.0,0.0,0.0,0.0005,44.95022044824495
2022-02-21,000858,BUY,27.88039894935098,200,5576.079789870196,1.6728239369610587,0.0,0.0,0.0,0.0005,27.27518845872432
2022-02-21,000333,BUY,74.54417854986092,2400,178906.0285196662,53.67180855589986,0.0,0.0,0.0,0.0005,74.54134025869978
2022-02-21,600900,BUY,72.59759377152076,100,7259.759377152076,2.177927813145623,0.0,0.0,0.0,0.0005,72.22641220031308
2022-02-28,000333,SELL,77.24885115477461,2400,185397.24277145907,55.619172831437716,185.39724277145908,178906.0285196662,6250.197836189967,0.0005,79.02832198527454
2022-02-28,600900,SELL,74.39518258287961,100,7439.5182582879615,2.231855477486388,7.439518258287961,7081.0564908208125,348.79039373137493,0.0005,76.24209159187835
