date,factor,quantile,mean_forward_return
2022-01-31,momentum_20,1,-0.00823894004101048
2022-01-31,momentum_20,2,0.010502613161204565
2022-01-31,momentum_20,3,0.00501476947728604
2022-01-31,momentum_20,4,-0.015611414470133735
2022-01-31,momentum_20,5,0.008332971872653604
2022-02-01,momentum_20,1,-0.009615707329059076
2022-02-01,momentum_20,2,0.014913537159765023
2022-02-01,momentum_20,3,-0.016643710141547575
2022-02-01,momentum_20,4,-0.02091835720863132
2022-02-01,momentum_20,5,0.03226423751947295
2022-02-02,momentum_20,1,-0.03164158632146359
2022-02-02,momentum_20,2,0.023085819522628045
2022-02-02,momentum_20,3,-0.003644627037671499
2022-02-02,momentum_20,4,0.017570348361729646
2022-02-02,momentum_20,5,-0.005369954525222608
2022-02-03,momentum_20,1,-0.02952053396337173
2022-02-03,momentum_20,2,0.019473084897893733
2022-02-03,momentum_20,3,-0.0005304231804227899
2022-02-03,momentum_20,4,0.026118611942697323
2022-02-03,momentum_20,5,-0.015540739696796535
2022-02-04,momentum_20,1,-0.024476891138820657
2022-02-04,momentum_20,2,-0.0214418053634056
2022-02-04,momentum_20,3,0.026674407226665607
2022-02-04,momentum_20,4,-0.009005585036336562
2022-02-04,momentum_20,5,0.028249874311897207
2022-02-07,momentum_20,1,-0.03606810941793037
2022-02-07,momentum_20,2,-0.012014231530561914
2022-02-07,momentum_20,3,-0.007431809004147527
2022-02-07,momentum_20,4,0.016842921411643008
2022-02-07,momentum_20,5,0.038671228540996805
2022-02-08,momentum_20,1,-0.005624284471908337
2022-02-08,momentum_20,2,-0.035265878620618765
2022-02-08,momentum_20,3,0.03523974934568101
2022-02-08,momentum_20,4,0.02470888050365859
2022-02-08,momentum_20,5,-0.01905846675681251
2022-02-09,momentum_20,1,-0.03098605876719912
2022-02-09,momentum_20,2,0.04268482055699924
2022-02-09,momentum_20,3,-0.00921632935438027
2022-02-09,momentum_20,4,0.01478343145451011
2022-02-09,momentum_20,5,-0.017265863889929955
2022-02-10,momentum_20,1,-0.031291086646249855
2022-02-10,momentum_20,2,0.024897179745250797
2022-02-10,momentum_20,3,0.031856247535223814
2022-02-10,momentum_20,4,-0.015880964389502095
2022-02-10,momentum_20,5,-0.009581376244722661
2022-02-11,momentum_20,1,-0.026125830432856864
2022-02-11,momentum_20,2,0.0021742385894402243
2022-02-11,momentum_20,3,0.039633386929491046
2022-02-11,momentum_20,4,0.0057006253240766795
2022-02-11,momentum_20,5,-0.021382420410151082
2022-02-14,momentum_20,1,-0.0026239987537096457
2022-02-14,momentum_20,2,0.0676783518508692
2022-02-14,momentum_20,3,-6.597065280281728e-05
2022-02-14,momentum_20,4,-0.02371378335215233
2022-02-14,momentum_20,5,-0.04127459909220441
2022-02-15,momentum_20,1,-0.0064758808082304945
2022-02-15,momentum_20,2,0.03428167953962888
2022-02-15,momentum_20,3,0.03755985582080698
2022-02-15,momentum_20,4,-0.03958579136048409
2022-02-15,momentum_20,5,-0.025779863191721285
2022-02-16,momentum_20,1,-0.03659650420618982
2022-02-16,momentum_20,2,0.025806969426707516
2022-02-16,momentum_20,3,0.05562075978505904
2022-02-16,momentum_20,4,-0.03141507208401528
2022-02-16,momentum_20,5,-0.013416152921561453
2022-02-17,momentum_20,1,-0.011046052796093442
2022-02-17,momentum_20,2,-0.020032103355527686
2022-02-17,momentum_20,3,0.02249348907154264
2022-02-17,momentum_20,4,0.007101844101728205
2022-02-17,momentum_20,5,0.0014828229783502844
2022-02-18,momentum_20,1,0.014162342836088936
2022-02-18,momentum_20,2,0.018039656372648892
2022-02-18,momentum_20,3,-0.03266854411781243
2022-02-18,momentum_20,4,0.0014235016375523596
2022-02-18,momentum_20,5,-0.0009569567284777661
2022-02-21,momentum_20,1,0.0020216698702562597
2022-02-21,momentum_20,2,-0.010145103785808629
2022-02-21,momentum_20,3,0.003896422333420968
2022-02-21,momentum_20,4,-0.0020758629642942394
2022-02-21,momentum_20,5,0.006302874546425641
2022-02-22,momentum_20,1,0.013845265167742128
2022-02-22,momentum_20,2,0.003288214500254327
2022-02-22,momentum_20,3,-0.031650774127403324
2022-02-22,momentum_20,4,-0.01218247742221825
2022-02-22,momentum_20,5,0.026699771881625124
2022-02-23,momentum_20,1,0.048234837645082046
2022-02-23,momentum_20,2,-0.02440990986846827
2022-02-23,momentum_20,3,-0.013677704383413557
2022-02-23,momentum_20,4,-0.04117142986313562
2022-02-23,momentum_20,5,0.0310242064699354
