cohort_level,cohort_key,horizon_days,sample_count,mean_return,median_return,positive_rate,mean_excess_return_proxy,return_std,t_stat,avg_source_reliability,avg_entity_link_confidence,evidence_status,can_enter_trusted_model,reason
event_type,general_news,1,13907,-0.0014813363976593716,-0.002262443438914019,0.4563169626806644,-0.002149859400144666,0.03425292391725669,-5.100030476832993,0.9355037031710648,0.9996908031926368,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type,commodity_shock,1,5005,0.0005306215256925048,0.0,0.4851148851148851,0.00020331897807332716,0.035659012655413824,1.0527314338467393,0.7610489510489511,0.9996303696303696,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type,shareholder_change,1,2408,-0.0006385939097706265,-0.002262443438914019,0.4597176079734219,-0.001020718179396291,0.031869525371109764,-0.9832804808569483,0.9365448504983388,0.9998131229235881,watchlist,False,"sample_count=2408, t_stat=-0.98"
event_type,fund_flow,1,583,-0.002993471766017485,-0.004314994606256617,0.451114922813036,0.0022306701081918155,0.036289564303937864,-1.9917172723777592,0.6983704974271012,0.991852487135506,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type,buyback_dividend,1,522,-0.00017555644166262013,-0.002695496123862051,0.4521072796934866,0.0010103119101170918,0.027582622042021766,-0.14541743257096257,0.9287356321839079,0.9995210727969349,watchlist,False,"sample_count=522, t_stat=-0.15"
event_type,performance_miss,1,137,-0.00645270999894514,0.0,0.48175182481751827,-0.009924550992123195,0.048242792566969284,-1.5655609911824304,0.6828467153284672,0.9992700729927008,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type,industry_policy,1,116,-0.0074841893202606015,-0.004769856857960886,0.43103448275862066,-0.008207995159279051,0.03860830025775146,-2.087820114759259,0.931896551724138,1.0,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type,ma_restructuring,1,99,0.007371007405201428,0.002507163323782091,0.5050505050505051,0.008363218631522623,0.03612710156068237,2.0300714560996074,0.9045454545454547,0.9994949494949495,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type,regulatory_inquiry,1,97,-0.0018655705177763775,-0.01056676272814605,0.4329896907216495,-0.0035564722773089304,0.05336779579613251,-0.3442851344093584,0.9376288659793814,1.0,watchlist,False,"sample_count=97, t_stat=-0.34"
event_type,order_contract,1,90,-0.0033688037305427488,-0.0018522043655830323,0.4666666666666667,-0.0025732927316043162,0.03237751178747441,-0.9870825944112693,0.8366666666666668,1.0,watchlist,False,"sample_count=90, t_stat=-0.99"
event_type,public_opinion_risk,1,70,-0.01294351120812747,-0.005964178751867277,0.38571428571428573,-0.015134786001045541,0.04351376991762199,-2.488710688900901,0.932857142857143,1.0,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type,performance_beat,1,66,0.00768545059428198,-0.00351629376315743,0.45454545454545453,0.008749646081568004,0.03458879410926583,1.805119183618869,0.6636363636363636,1.0,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type,capacity_operation,1,32,-0.002829826729015692,0.0010964912280702066,0.5,-0.0025332247215108894,0.02552637749284053,-0.6271127723410552,0.8374999999999999,0.9984375,watchlist,False,"sample_count=32, t_stat=-0.63"
event_type_reliability,general_news|high,1,13235,-0.001156517971400457,-0.0017301038062284002,0.4618058179070646,-0.0021228115729282912,0.03416896386136137,-3.893879871194833,0.9499999999999998,0.9999962221382698,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,commodity_shock|medium,1,4670,0.00020926655945694686,-0.0008714622234765601,0.4777301927194861,7.319249104061587e-05,0.03590328252077167,0.39831266699326195,0.7474946466809422,0.9996038543897215,watchlist,False,"sample_count=4670, t_stat=0.40"
event_type_reliability,shareholder_change|high,1,2300,-0.00027972471677920735,-0.002169197396963307,0.46217391304347827,-0.0008361911030956146,0.031567206054459764,-0.4249703354376902,0.95,1.0,watchlist,False,"sample_count=2300, t_stat=-0.42"
event_type_reliability,general_news|medium,1,672,-0.00787861596839856,-0.010677924012912787,0.3482142857142857,-0.002682564747181455,0.03528804026385834,-5.787713545069942,0.6500000000000001,0.9936755952380952,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,fund_flow|medium,1,489,-0.003943279394717041,-0.005350454788657144,0.44171779141104295,0.002681733082086772,0.03635770839452738,-2.3983660995702354,0.65,0.9902862985685071,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,buyback_dividend|high,1,485,-0.000387218251468682,-0.002807486631015932,0.44742268041237115,0.0004572704465140372,0.027970544855281596,-0.30487777232297814,0.9499999999999997,1.0,watchlist,False,"sample_count=485, t_stat=-0.30"
event_type_reliability,commodity_shock|high,1,335,0.005010405681871768,0.0035190615835776207,0.5880597014925373,0.002017321051036797,0.031771669608339,2.8863916334487802,0.95,1.0,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,performance_miss|medium,1,122,-0.003893875939092174,0.0,0.48360655737704916,-0.007847142656891902,0.042613909744822175,-1.0092776222824287,0.6500000000000002,0.9991803278688525,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,industry_policy|high,1,109,-0.007398814170439929,-0.005121451565700874,0.43119266055045874,-0.009006499494128309,0.03925619093440266,-1.96773772246375,0.95,1.0,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,shareholder_change|medium,1,108,-0.00828117857532863,-0.009470231207772295,0.4074074074074074,-0.004950461470984769,0.037087692240386154,-2.3204606982907863,0.6500000000000002,0.9958333333333333,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,fund_flow|high,1,94,0.0019475487705153123,-3.159187106283046e-05,0.5,-0.0001158170645170578,0.03571689570646348,0.5286625704402701,0.9500000000000001,1.0,watchlist,False,"sample_count=94, t_stat=0.53"
event_type_reliability,regulatory_inquiry|high,1,93,-0.0010595970525788259,-0.0024420024420024333,0.45161290322580644,-0.0027923008816447647,0.05431643582431303,-0.18812692267767964,0.9500000000000001,1.0,watchlist,False,"sample_count=93, t_stat=-0.19"
event_type_reliability,ma_restructuring|high,1,84,0.008602328863191172,0.0026428213688877156,0.5119047619047619,0.009867384497920096,0.03644439349692074,2.163340881049795,0.9500000000000002,1.0,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,public_opinion_risk|high,1,66,-0.014761064411864843,-0.005964178751867277,0.3787878787878788,-0.016843565532401426,0.04242104568067981,-2.8268858593910404,0.9500000000000002,1.0,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,performance_beat|medium,1,63,0.008166744947025843,-0.00302571860816947,0.4603174603174603,0.009070267383745164,0.03518785125926789,1.8421564867533176,0.6499999999999998,1.0,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_reliability,order_contract|high,1,56,0.0010430044583540057,0.00120481927710836,0.5357142857142857,0.0007688600615832679,0.027517953697237665,0.28363775729662416,0.9500000000000001,1.0,watchlist,False,"sample_count=56, t_stat=0.28"
event_type_reliability,buyback_dividend|medium,1,37,0.002598929443633056,0.00012106537530276462,0.5135135135135135,0.008259639203292266,0.02199288242154411,0.7188084915660651,0.6499999999999998,0.9932432432432432,watchlist,False,"sample_count=37, t_stat=0.72"
event_type_reliability,order_contract|medium,1,34,-0.010635311335784462,-0.009079118028534228,0.35294117647058826,-0.008078014979207395,0.03844147615217419,-1.613205188587814,0.6499999999999999,1.0,watchlist,False,"sample_count=34, t_stat=-1.61"
event_type_reliability,capacity_operation|high,1,20,-0.00090014351865782,0.0032942934258725076,0.55,-0.001117759821292446,0.029521271471857808,-0.13636147746166632,0.9499999999999998,1.0,watchlist,False,"sample_count=20, t_stat=-0.14"
event_type_reliability,ma_restructuring|medium,1,15,0.00047560724045886036,0.0,0.4666666666666667,-6.0110220303230084e-05,0.0346675743704649,0.05313376995888538,0.6500000000000001,0.9966666666666666,data_insufficient,False,"sample_count=15, minimum=20"
event_type_reliability,performance_miss|high,1,15,-0.027264560352415933,-0.02840909090909094,0.4666666666666667,-0.026820805452004375,0.07995388276159275,-1.3207011909782878,0.9499999999999996,1.0,data_insufficient,False,"sample_count=15, minimum=20"
event_type_reliability,capacity_operation|medium,1,12,-0.006045965412945479,-0.006876568582547038,0.4166666666666667,-0.004892332888541629,0.017689941533053838,-1.1839405185663083,0.6500000000000001,0.9958333333333332,data_insufficient,False,"sample_count=12, minimum=20"
event_type_reliability,industry_policy|medium,1,7,-0.00881360236746823,-0.003252032520325243,0.42857142857142855,0.00422585805480226,0.028788570836034696,-0.809995055042577,0.65,1.0,data_insufficient,False,"sample_count=7, minimum=20"
event_type_reliability,public_opinion_risk|medium,1,4,0.017046116653539223,-0.004088288834951437,0.5,0.013060076266326517,0.05733512368216332,0.5946134082847435,0.65,1.0,data_insufficient,False,"sample_count=4, minimum=20"
event_type_reliability,regulatory_inquiry|medium,1,4,-0.020604453583619453,-0.01616868689739087,0.0,-0.021323457226500808,0.013283607899787258,-3.102237545561615,0.65,1.0,data_insufficient,False,"sample_count=4, minimum=20"
event_type_reliability,performance_beat|high,1,3,-0.0024217308133391477,-0.005412719891745743,0.3333333333333333,0.0020165987358476394,0.018391340387337668,-0.2280725995287671,0.9499999999999998,1.0,data_insufficient,False,"sample_count=3, minimum=20"
event_type_sentiment,general_news|neutral,1,13906,-0.0014794613639215679,-0.002262443438914019,0.456349777074644,-0.002148711738886557,0.03425344182491366,-5.093314857798737,0.935524234143535,0.99969078095786,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_sentiment,commodity_shock|positive,1,2855,0.00026939667222830366,-0.0016741071428572063,0.47180385288966725,0.0004917745798515603,0.03688501336139853,0.39025218011355206,0.7693695271453591,0.9993520140105079,watchlist,False,"sample_count=2855, t_stat=0.39"
event_type_sentiment,shareholder_change|neutral,1,2408,-0.0006385939097706265,-0.002262443438914019,0.4597176079734219,-0.001020718179396291,0.031869525371109764,-0.9832804808569483,0.9365448504983388,0.9998131229235881,watchlist,False,"sample_count=2408, t_stat=-0.98"
event_type_sentiment,commodity_shock|negative,1,2150,0.000877503831106594,0.0006539094857677119,0.5027906976744186,-0.00017972322800893065,0.0339680661684095,1.1978361849734174,0.75,1.0,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
event_type_sentiment,fund_flow|neutral,1,583,-0.002993471766017485,-0.004314994606256617,0.451114922813036,0.0022306701081918155,0.036289564303937864,-1.9917172723777592,0.6983704974271012,0.991852487135506,candidate_for_walk_forward,False,requires walk-forward baseline comparison before model use
