date,symbol,event_count_3d,event_count_20d,positive_event_count,negative_event_count,event_risk_count,event_impact_score,event_weighted_impact_score,event_confidence_mean,event_reliability_mean,event_high_reliability_count,latest_event_source_reliability,latest_event_type,latest_event_title,latest_event_source,latest_event_source_category
2025-12-25,000630,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 000630 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-26,000630,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 000630 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-29,000630,2,2,1,1,1,-0.09585063458456078,-0.031096988140227017,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-30,000630,2,2,1,1,1,-0.09585063458456074,-0.031096988140227003,0.67,0.4000000000000001,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-31,000630,2,3,2,1,1,0.21528094414203244,0.0591313161925375,0.6833333333333335,0.39999999999999997,0,0.4,order_contract,公告: 000630 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_announcement,sample_demo
2025-12-23,600362,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 600362 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-24,600362,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 600362 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-25,600362,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4000000000000001,0,0.4,public_opinion_risk,风险: 600362 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-26,600362,2,2,1,1,1,-0.09585063458456072,-0.03109698814022701,0.67,0.4,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-29,600362,2,3,2,1,1,0.21528094414203244,0.0591313161925375,0.6833333333333335,0.39999999999999997,0,0.4,order_contract,公告: 600362 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_announcement,sample_demo
2025-12-24,601899,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 601899 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-25,601899,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4,0,0.4,public_opinion_risk,风险: 601899 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-26,601899,1,1,0,1,1,-0.55,-0.15620000000000003,0.7100000000000001,0.4000000000000001,0,0.4,public_opinion_risk,风险: 601899 出现舆情风险提示，需降低事件置信度。,sample_risk_news,sample_demo
2025-12-29,601899,2,2,1,1,1,-0.09585063458456074,-0.031096988140227003,0.67,0.4000000000000001,0,0.4,commodity_shock,行业: 有色金属与新能源产业链价格波动，对相关股票形成商品价格冲击。,sample_industry_news,sample_demo
2025-12-30,601899,2,3,2,1,1,0.21528094414203244,0.0591313161925375,0.6833333333333335,0.39999999999999997,0,0.4,order_contract,公告: 601899 发布经营进展公告，订单合同和产能信息需要继续跟踪。,sample_announcement,sample_demo
