date,symbol,shares,close,market_value,weight
2022-01-10,000630,8500,35.37912527745955,300722.5648584062,0.30220005337697975
2022-01-10,601899,4100,71.33088090570565,292456.6117133932,0.2938934885443384
2022-01-10,600362,31300,9.571426616864567,299585.65310786094,0.30105755583323385
2022-01-11,000630,8500,36.12065998862328,307025.6099032979,0.3032133501483426
2022-01-11,601899,4100,70.75152571990779,290081.25545162195,0.286479389482938
2022-01-11,600362,31300,10.003831764021836,313119.9342138835,0.30923200276720775
2022-01-12,000630,8500,36.45161709906939,309838.7453420898,0.30702338044902444
2022-01-12,601899,4100,70.45368829653648,288860.12201579957,0.2862353804082515
2022-01-12,600362,31300,9.844247317989067,308124.9410530578,0.3053251487263724
2022-01-13,000630,8500,36.97439365097935,314282.3460333245,0.30764181168649096
2022-01-13,601899,4100,70.395386128049,288621.0831250009,0.28252275071816363
2022-01-13,600362,31300,10.10657466315201,316335.7869566579,0.30965186504716713
2022-01-14,000630,8500,36.88313062179283,313506.61028523906,0.30400255108927143
2022-01-14,601899,4100,70.36411305514385,288492.86352608976,0.27974710454489465
2022-01-14,600362,31300,10.444650272820526,326917.55353928247,0.31700693705112815
2022-01-17,000630,8400,35.9352777727257,301856.33329089585,0.29752817516488633
2022-01-17,601899,4400,70.2842912865776,309250.8816609414,0.3048166970213681
2022-01-17,600362,29400,10.155982221063844,298585.87729927705,0.2943046125099803
2022-01-18,000630,8400,36.60571176778885,307487.9788494263,0.30430997429981854
2022-01-18,601899,4400,69.14267875269265,304227.78651184763,0.30108347728301366
2022-01-18,600362,29400,9.99570026187152,293873.58769902267,0.2908362930307508
2022-01-19,000630,8400,36.39189197419096,305691.8925832041,0.30324789643167716
2022-01-19,601899,4400,68.62157414259494,301934.9262274177,0.29952096689249513
2022-01-19,600362,29400,10.053694579790289,295578.6206458345,0.2932154797550912
2022-01-20,000630,8400,36.30437522414358,304956.7518828061,0.29885227777927087
2022-01-20,601899,4400,68.95468559010118,303400.6165964452,0.2973272924428571
2022-01-20,600362,29400,10.449491969105004,307215.06389168714,0.3010653840103136
2022-01-21,000630,8400,36.16077275723861,303750.49116080435,0.2951930698037361
2022-01-21,601899,4400,70.31427756289654,309382.82127674477,0.300666722902102
2022-01-21,600362,29400,10.578298031609442,311001.96212931763,0.30224024845226344
2022-01-24,000630,8500,36.31306777088392,308661.0760525133,0.29770675415692505
2022-01-24,601899,4300,72.41300372889182,311375.91603423486,0.30032524499273183
2022-01-24,600362,29100,10.492521741110313,305332.3826663101,0.29449619545524547
2022-01-25,000630,8500,35.53139317878533,302016.8420196753,0.28829484780694126
2022-01-25,601899,4300,75.70898875951832,325548.6516659288,0.31075750066835556
2022-01-25,600362,29100,10.60499269401625,308605.2873958729,0.2945839502434587
2022-01-26,000630,8500,36.10392525057982,306883.3646299285,0.29077820212249195
2022-01-26,601899,4300,75.1344014676511,323077.9263108997,0.3061228772417616
2022-01-26,600362,29100,10.790337520557902,313998.8218482349,0.2975202419189915
2022-01-27,000630,8500,36.35991707002278,309059.29509519367,0.2911868588694687
2022-01-27,601899,4300,75.78712866692977,325884.653267798,0.30703923177456244
2022-01-27,600362,29100,10.825004897533756,315007.6425182323,0.29679122226855503
2022-01-28,000630,8500,36.53486111606382,310546.3194865425,0.2907542193694591
2022-01-28,601899,4300,75.22386748977647,323462.6302060388,0.3028473327143213
2022-01-28,600362,29100,11.087159121631863,322636.33043948724,0.3020736956479213
2022-01-31,000630,8700,36.24520436422506,315333.277968758,0.29578957077078993
2022-01-31,601899,4200,75.9976135584394,319189.97694544547,0.29940723948706016
2022-01-31,600362,29000,10.994602241744396,318843.4650105875,0.2990822036483475
2022-02-01,000630,8700,36.15451316004816,314544.264492419,0.2939775786494644
2022-02-01,601899,4200,76.15577071825474,319854.23701666994,0.2989403550901459
2022-02-01,600362,29000,11.132939923176352,322855.2577721142,0.30174515210841596
2022-02-02,000630,8700,35.82284043067285,311658.7117468538,0.29401651965990616
2022-02-02,601899,4200,75.28950229107843,316215.9096225294,0.29831574637267005
2022-02-02,600362,29000,11.014592182056592,319423.1732796412,0.3013414551449686
2022-02-03,000630,8700,35.449272041748046,308408.666763208,0.28717261642056835
2022-02-03,601899,4200,76.67983533145956,322055.30839213013,0.2998795932479748
2022-02-03,600362,29000,11.406153973778157,330778.4652395665,0.3080021009635205
2022-02-04,000630,8700,33.79222592546252,293992.3655515239,0.2742776455720503
2022-02-04,601899,4200,78.64712432637114,330317.9221707588,0.30816726078340795
2022-02-04,600362,29000,11.546969660855884,334862.12016482063,0.3124067311672268
2022-02-07,000630,9500,33.00259403294262,313524.64331295487,0.2934998660039197
2022-02-07,601899,4000,78.55016729644767,314200.6691857907,0.29413271419408393
2022-02-07,600362,27900,11.699579773358655,326418.27567670646,0.30556998378183065
2022-02-08,000630,9500,32.39816443190213,307782.56210307026,0.29033070154181234
2022-02-08,601899,4000,77.50150506241538,310006.0202496615,0.29242808535439013
2022-02-08,600362,27900,11.76479343303397,328237.7367816478,0.30962602865200434
2022-02-09,000630,9500,31.16004053181817,296020.3850522726,0.27873733480803775
2022-02-09,601899,4000,77.5291630907605,310116.652363042,0.2920105963107944
