date,equity_open,buy_value,sell_value,traded_value,turnover,buy_count,sell_count,target_weight_sum
2020-01-06,1000000.0,799086.1951627703,0.0,799086.1951627703,0.7990861951627704,6,0,0.8000000000000002
2020-01-13,982947.9003366806,464507.1001261944,338866.3123090744,803373.4124352688,0.8173102685911392,6,4,0.9263157894736842
2020-01-20,986316.7220215208,420574.3017450048,384053.5382823168,804627.8400273216,0.8157905286023986,6,7,0.9651148656861553
2020-02-03,839142.7742995424,345343.8445802784,323261.3930646144,668605.2376448928,0.7967717271986254,6,8,0.9862300982050848
2020-02-10,858361.9454425202,331165.8703135152,329549.08203509514,660714.9523486104,0.769739334154644,6,12,0.9932719457628654
2020-02-17,945360.1694333606,350195.58567852475,350874.6426792936,701070.2283578183,0.7415906138482995,6,14,0.9977098586931374
2020-02-24,1004529.5562819428,287582.52793065115,284029.1304244776,571611.6583551287,0.5690341859833675,5,15,0.9999999999999999
2020-03-02,896170.3086168381,160740.64274641918,156143.8443994104,316884.4871458296,0.3535985114647612,3,4,0.9999999999999999
2020-03-09,938444.0919202862,323137.07098737836,320354.0962901936,643491.167277572,0.6857000569536664,4,4,1.0
2020-03-16,845538.1490186279,165862.217061684,168164.69879738562,334026.9158590696,0.39504653485683316,4,3,1.0
2020-03-23,815584.1985507747,276007.84249918314,275100.54437318875,551108.3868723719,0.6757222465217517,4,4,0.9999999999999999
2020-03-30,833810.4022963453,336372.6282542064,339374.43045110477,675747.0587053112,0.8104325118087736,4,4,1.0
2020-04-07,855188.4471001811,85283.31972708719,86473.2189846424,171756.53871172958,0.20084057413793516,4,4,0.9999999999999999
2020-04-13,852661.2233711381,146564.1017473536,145271.43357898082,291835.5353263344,0.3422643452372726,3,2,0.9999999999999999
2020-04-20,848635.0307145885,151186.4421277248,152516.63797382158,303703.08010154637,0.3578724293832354,3,4,0.9999999999999999
2020-04-27,854829.319849681,153845.5268430432,154289.57310812717,308135.0999511704,0.3604638876979032,3,3,0.9999999999999999
2020-05-06,845866.7121046715,146456.51209643518,144770.69636548,291227.20846191514,0.3442944429593268,3,4,0.9999999999999999
2020-05-11,864224.6259388123,291772.9726346736,290847.5495848672,582620.5222195408,0.6741540390458519,4,4,0.9999999999999999
2020-05-18,879122.2134437552,149860.61940339362,154448.76162235357,304309.38102574716,0.3461513955308745,2,5,0.9999999999999999
2020-05-25,884923.8619377849,174472.6391460864,174808.89056928077,349281.5297153672,0.394702352076391,4,3,0.9999999999999999
2020-06-01,906124.4100944954,166379.85781225917,164372.89920975038,330752.7570220096,0.36501914454276424,3,3,0.9999999999999999
2020-06-08,875277.8065856703,157967.82696898078,157319.16753908957,315286.99450807035,0.36021362833128195,3,3,0.9999999999999999
2020-06-15,877350.8355618876,152746.28978734798,155257.11005684882,308003.3998441968,0.3510607015572512,3,2,0.9999999999999999
2020-06-22,895016.9099543785,355379.7103010352,355526.8077214904,710906.5180225256,0.7942939514503279,5,6,0.9999999999999999
2020-06-29,906079.8667277051,353617.4618181864,353568.360281852,707185.8221000384,0.780489499953277,5,6,0.9999999999999999
2020-07-06,960132.5589384591,325062.1223564255,327009.2475824528,652071.3699388783,0.6791472321903351,4,6,0.9999999999999999
2020-07-13,1122584.0653309221,384456.8546870472,381146.393196448,765603.2478834952,0.682000815375734,4,4,0.9999999999999999
2020-07-20,1074003.3960127616,435989.06726986077,442360.2513886584,878349.3186585192,0.8178273196522391,5,3,1.0
2020-07-27,1087914.093443573,410550.5328910055,410658.57817354554,821209.111064551,0.7548473873200585,4,7,1.0
2020-08-03,1121386.15168962,294538.9684134744,291363.11602448876,585902.0844379631,0.5224802210685142,5,6,0.9999999999999999
2020-08-10,1197699.3189682788,408872.1167634311,410517.11011560395,819389.2268790351,0.6841360046734206,3,5,0.9999999999999999
2020-08-17,1084826.2006702719,375435.199057788,374167.8611359328,749603.0601937207,0.6909890816893712,4,4,0.9999999999999999
