theme,theme_group,symbol,name,reason,seed_rank,seed_weight,source_note,source,notes
advanced_packaging_chiplet_pcb,professional_hot,600584,JCET,advanced packaging,1,1.0,curated_public_hot_seed,curated_public_hot_seed,advanced packaging
advanced_packaging_chiplet_pcb,professional_hot,002156,Tongfu Microelectronics,advanced packaging,2,0.5,curated_public_hot_seed,curated_public_hot_seed,advanced packaging
advanced_packaging_chiplet_pcb,professional_hot,002463,WUS Printed Circuit,AI server PCB,3,0.3333333333333333,curated_public_hot_seed,curated_public_hot_seed,AI server PCB
advanced_packaging_chiplet_pcb,professional_hot,002916,Shennan Circuits,IC substrate and PCB,4,0.25,curated_public_hot_seed,curated_public_hot_seed,IC substrate and PCB
advanced_packaging_chiplet_pcb,professional_hot,002938,Avary Holding,high-end PCB,5,0.2,curated_public_hot_seed,curated_public_hot_seed,high-end PCB
advanced_packaging_chiplet_pcb,professional_hot,300476,Victory Giant,AI server PCB,6,0.16666666666666666,curated_public_hot_seed,curated_public_hot_seed,AI server PCB
advanced_packaging_chiplet_pcb,professional_hot,603228,Kinwong,high-end PCB,7,0.14285714285714285,curated_public_hot_seed,curated_public_hot_seed,high-end PCB
advanced_packaging_chiplet_pcb,professional_hot,688183,Shengyi Electronics,server PCB,8,0.125,curated_public_hot_seed,curated_public_hot_seed,server PCB
advanced_packaging_chiplet_pcb,professional_hot,600183,Shengyi Technology,copper clad laminate,9,0.1111111111111111,curated_public_hot_seed,curated_public_hot_seed,copper clad laminate
agriculture_food_beverage,expanded_hot,000876,New Hope,pig and feed,1,1.0,curated_public_hot_seed,curated_public_hot_seed,pig and feed
agriculture_food_beverage,expanded_hot,002714,Muyuan Foods,pig farming,2,0.5,curated_public_hot_seed,curated_public_hot_seed,pig farming
agriculture_food_beverage,expanded_hot,300498,Wens Foodstuff,pig and poultry,3,0.3333333333333333,curated_public_hot_seed,curated_public_hot_seed,pig and poultry
agriculture_food_beverage,expanded_hot,002311,Haid Group,feed,4,0.25,curated_public_hot_seed,curated_public_hot_seed,feed
agriculture_food_beverage,expanded_hot,000998,Longping High-Tech,seed,5,0.2,curated_public_hot_seed,curated_public_hot_seed,seed
agriculture_food_beverage,expanded_hot,600313,Nongfa Seed,seed,6,0.16666666666666666,curated_public_hot_seed,curated_public_hot_seed,seed
agriculture_food_beverage,expanded_hot,600371,Wanxiang Doneed,seed,7,0.14285714285714285,curated_public_hot_seed,curated_public_hot_seed,seed
agriculture_food_beverage,expanded_hot,002385,Dabeinong,seed feed,8,0.125,curated_public_hot_seed,curated_public_hot_seed,seed feed
agriculture_food_beverage,expanded_hot,600737,COFCO Sugar,sugar,9,0.1111111111111111,curated_public_hot_seed,curated_public_hot_seed,sugar
agriculture_food_beverage,expanded_hot,600887,Yili,dairy,10,0.1,curated_public_hot_seed,curated_public_hot_seed,dairy
agriculture_food_beverage,expanded_hot,000895,Shuanghui Development,meat processing,11,0.09090909090909091,curated_public_hot_seed,curated_public_hot_seed,meat processing
agriculture_food_beverage,expanded_hot,600872,Jonjee Hi-Tech,condiment,12,0.08333333333333333,curated_public_hot_seed,curated_public_hot_seed,condiment
agriculture_food_beverage,expanded_hot,603288,Haitian Flavouring,condiment,13,0.07692307692307693,curated_public_hot_seed,curated_public_hot_seed,condiment
agriculture_food_beverage,expanded_hot,600809,Shanxi Fenjiu,liquor,14,0.07142857142857142,curated_public_hot_seed,curated_public_hot_seed,liquor
agriculture_food_beverage,expanded_hot,600519,Kweichow Moutai,liquor,15,0.06666666666666667,curated_public_hot_seed,curated_public_hot_seed,liquor
agriculture_food_beverage,expanded_hot,000858,Wuliangye,liquor,16,0.0625,curated_public_hot_seed,curated_public_hot_seed,liquor
agriculture_food_beverage,expanded_hot,000568,Luzhou Laojiao,liquor,17,0.058823529411764705,curated_public_hot_seed,curated_public_hot_seed,liquor
agriculture_food_beverage,expanded_hot,002557,Qiaqia Food,snack,18,0.05555555555555555,curated_public_hot_seed,curated_public_hot_seed,snack
agriculture_food_beverage,expanded_hot,002507,Fuling Zhacai,food,19,0.05263157894736842,curated_public_hot_seed,curated_public_hot_seed,food
agriculture_food_beverage,expanded_hot,603345,Anjoy Foods,frozen food,20,0.05,curated_public_hot_seed,curated_public_hot_seed,frozen food
agriculture_food_beverage,expanded_hot,605499,Eastroc Beverage,beverage,21,0.047619047619047616,curated_public_hot_seed,curated_public_hot_seed,beverage
agriculture_food_beverage,expanded_hot,300999,Jinzai Food,snack,22,0.045454545454545456,curated_public_hot_seed,curated_public_hot_seed,snack
