date,time_label,symbol,bar_index,scenario,open,high,low,close,target_1d_return,prob_up,expected_return,direction,trend_label,confidence,risk_flags,trust_status,model_id,model_type,data_version,source,is_forecast,note
2026-01-01,09:30,000630,1,bearish,33.63435124611308,33.85626900272417,33.412433489501986,33.63435124611308,-0.02329694199662474,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,09:30,000630,1,base,33.63435124611308,33.82600749045902,33.442695001767134,33.63435124611308,0.0012074951028552866,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,09:30,000630,1,bullish,33.63435124611308,33.86635617347922,33.402346318746936,33.63435124611308,0.02571193220233531,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,10:30,000630,2,bearish,33.63435124611308,33.85626900272417,33.33294486247345,33.55433467376766,-0.02329694199662474,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,10:30,000630,2,base,33.63435124611308,33.886365338400275,33.442695001767134,33.69436710990334,0.0012074951028552866,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,10:30,000630,2,bullish,33.63435124611308,34.087336122791555,33.402346318746936,33.85381734974249,0.02571193220233531,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,11:30,000630,3,bearish,33.55433467376766,33.77572448506188,33.106224754455454,33.326108742542694,-0.02329694199662474,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,11:30,000630,3,base,33.69436710990334,33.886365338400275,33.43477313688591,33.626383981934,0.0012074951028552866,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,11:30,000630,3,bullish,33.85381734974249,34.15230112789539,33.62029857669343,33.918337305452376,0.02571193220233531,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,13:30,000630,4,bearish,33.326108742542694,33.54599273062993,32.964463525429245,33.1834059677913,-0.02329694199662474,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,13:30,000630,4,base,33.626383981934,33.88162025399486,33.43477313688591,33.68964891087766,0.0012074951028552866,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,13:30,000630,4,bullish,33.918337305452376,34.44294263351754,33.68437348300936,34.206987741794556,0.02571193220233531,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
2026-01-01,14:30,000630,5,bearish,33.1834059677913,33.40234841015336,32.741249817821696,32.958709725687946,-0.02329694199662474,0.5327748402364523,0.0012074951028552866,震荡偏多,趋势延续,0.07364480120135569,none,data_insufficient,stock_forecast_factor_score_h1,factor_score,274ffa65b083,sample,True,Intraday scenario checkpoints are derived from the 1d forecast; not tick-level prediction.
