date,symbol,score,future_return_5d,direction_up_5d,score_percentile,prob_up,predicted_direction,horizon_days
2022-01-03,000630,0.0,-0.05076811426759609,0.0,0.6666666666666666,0.5,1,5
2022-01-04,000630,0.0,0.009538698283292124,1.0,0.6666666666666666,0.3333333333333333,0,5
2022-01-05,000630,0.0,0.013094049497647253,1.0,0.6666666666666666,0.5,1,5
2022-01-06,000630,0.0,0.052073714362177226,1.0,0.6666666666666666,0.5555555555555556,1,5
2022-01-07,000630,0.0,0.05266927540352695,1.0,0.6666666666666666,0.5833333333333334,1,5
2022-01-10,000630,0.15,0.015719792134614385,1.0,1.0,0.6,1,5
2022-01-11,000630,0.09999999999999999,0.013428652170761612,1.0,0.6666666666666666,0.6111111111111112,1,5
2022-01-12,000630,0.09999999999999999,-0.0016384766885952917,0.0,0.6666666666666666,0.5714285714285714,1,5
2022-01-13,000630,0.049999999999999996,-0.01812114711495827,0.0,0.3333333333333333,0.5416666666666666,1,5
2022-01-14,000630,0.09999999999999999,-0.019585047483127838,0.0,0.6666666666666666,0.5185185185185185,1,5
2022-01-17,000630,0.2,0.01051306742492919,1.0,0.6666666666666666,0.5,1,5
2022-01-18,000630,0.11666666666666667,-0.02934838682603802,0.0,0.3333333333333333,0.5454545454545454,1,5
2022-01-19,000630,0.24666666666666665,-0.007912936316016972,0.0,0.6666666666666666,0.5555555555555556,1,5
2022-01-20,000630,0.19666666666666666,0.0015298940013783735,1.0,0.6666666666666666,0.5641025641025641,1,5
2022-01-21,000630,0.3,0.01034514282470167,1.0,1.0,0.5952380952380952,1,5
2022-01-24,000630,0.22666666666666668,-0.001868842563427564,0.0,0.6666666666666666,0.6222222222222222,1,5
2022-01-25,000630,0.26,0.017537167150396993,1.0,0.6666666666666666,0.625,1,5
2022-01-26,000630,0.26,-0.007785436568353732,0.0,1.0,0.6470588235294118,1,5
2022-01-27,000630,0.26,-0.02504529992521698,0.0,0.6666666666666666,0.6481481481481481,1,5
2022-01-28,000630,0.26,-0.07506899182916038,0.0,0.6666666666666666,0.6491228070175439,1,5
2022-01-31,000630,0.38666666666666666,-0.08946315486864742,0.0,0.6666666666666666,0.65,1,5
2022-02-01,000630,0.4166666666666667,-0.10389709056563678,0.0,0.6666666666666666,0.6507936507936508,1,5
2022-02-02,000630,0.44,-0.13016276327608622,0.0,0.6666666666666666,0.6515151515151515,1,5
2022-02-03,000630,0.44,-0.13129032071075009,0.0,0.6666666666666666,0.6521739130434783,1,5
2022-02-04,000630,0.41333333333333333,-0.06631939530025799,0.0,0.3333333333333333,0.6527777777777778,1,5
2022-02-07,000630,0.36333333333333334,-0.04013779957829133,0.0,0.6666666666666666,0.64,1,5
2022-02-08,000630,0.36333333333333334,-0.004105152695952796,0.0,0.6666666666666666,0.6282051282051282,1,5
2022-02-09,000630,0.36333333333333334,0.04754128764869936,1.0,0.6666666666666666,0.6172839506172839,1,5
2022-02-10,000630,0.36333333333333334,0.05913392969100428,1.0,0.6666666666666666,0.6190476190476191,1,5
2022-02-11,000630,0.2866666666666667,0.00883318718217252,1.0,0.3333333333333333,0.7040229885057472,1,5
2022-02-14,000630,0.2866666666666667,-0.024830057399734207,0.0,0.3333333333333333,0.7222222222222223,1,5
2022-02-15,000630,0.29000000000000004,-0.03212307440078033,0.0,0.3333333333333333,0.7005789909015716,1,5
2022-02-16,000630,0.21333333333333337,-0.03524303511524929,0.0,0.3333333333333333,0.6805555555555556,1,5
2022-02-17,000630,0.1866666666666667,-0.03985549237661079,0.0,0.3333333333333333,0.661976911976912,1,5
2022-02-18,000630,0.29000000000000004,-0.04065734406313426,0.0,0.3333333333333333,0.6446923597025017,1,5
2022-02-21,000630,0.2866666666666667,-0.0033109171948977334,0.0,0.3333333333333333,0.6285714285714286,1,5
2022-02-22,000630,0.26,-0.00889699802653654,0.0,0.3333333333333333,0.613500597371565,1,5
2022-02-23,000630,0.22666666666666668,-0.047855111274317186,0.0,0.3333333333333333,0.6059966216216216,1,5
2022-02-24,000630,0.25333333333333335,-0.06903677440243561,0.0,0.3333333333333333,0.5837320574162679,1,5
2022-02-25,000630,0.28,-0.061368132215962046,0.0,0.3333333333333333,0.5774258421317243,1,5
2022-02-28,000630,0.20666666666666667,-0.06599919910714225,0.0,0.3333333333333333,0.5714285714285714,1,5
2022-03-01,000630,0.21666666666666667,-0.10516979101503943,0.0,0.3333333333333333,0.5575880758807588,1,5
2022-03-02,000630,0.23333333333333334,-0.09521990449349915,0.0,0.3333333333333333,0.5467610467610466,1,5
2022-03-03,000630,0.26666666666666666,-0.06172941739529503,0.0,0.3333333333333333,0.5287637698898409,1,5
2022-03-04,000630,0.24,-0.027326094498193898,0.0,0.3333333333333333,0.5192307692307692,1,5
2022-03-07,000630,0.2466666666666667,-0.027565719934228516,0.0,0.3333333333333333,0.5027777777777777,1,5
2022-03-08,000630,0.20666666666666667,0.028115166931726776,1.0,0.3333333333333333,0.49434429126899954,0,5
2022-03-09,000630,0.20666666666666667,0.03219770635762109,1.0,0.3333333333333333,0.49822695035460973,0,5
2022-03-10,000630,0.20666666666666667,0.012071607470161672,1.0,0.3333333333333333,0.5066214470284236,1,5
2022-03-11,000630,0.3433333333333334,-0.009166313288982209,0.0,0.6666666666666666,0.5714285714285714,1,5
2022-03-14,000630,0.3433333333333334,-0.019906427721011477,0.0,0.6666666666666666,0.5666666666666667,1,5
2022-03-15,000630,0.2433333333333334,-0.05415940546001219,0.0,0.3333333333333333,0.5077436771810173,1,5
2022-03-16,000630,0.21666666666666673,-0.04280352845562929,0.0,0.3333333333333333,0.5002727768685215,1,5
2022-03-17,000630,0.21666666666666673,-0.05313463429982013,0.0,0.3333333333333333,0.4931210691823898,0,5
2022-03-18,000630,0.3166666666666667,-0.027859932658889863,0.0,0.6666666666666666,0.5555555555555556,1,5
