date,factor,ic,rank_ic
2022-01-04,momentum_1,0.584979772661217,0.5151515151515151
2022-01-05,momentum_1,-0.20071224525582532,-0.35757575757575755
2022-01-06,momentum_1,-0.025410235160893874,-0.01818181818181818
2022-01-07,momentum_1,-0.3569720046446278,-0.28484848484848485
2022-01-10,momentum_1,0.623479431155702,0.7333333333333332
2022-01-11,momentum_1,-0.06707400285615794,0.1515151515151515
2022-01-12,momentum_1,0.03926564601491211,0.09090909090909088
2022-01-13,momentum_1,0.06931835699691499,0.23636363636363633
2022-01-14,momentum_1,-0.08113884028424916,-0.09090909090909088
2022-01-17,momentum_1,0.35649533521199755,0.38181818181818183
2022-01-18,momentum_1,-0.32515846579326835,-0.2606060606060606
2022-01-19,momentum_1,-0.39503871774978394,-0.0303030303030303
2022-01-20,momentum_1,0.04031384987153932,-0.06666666666666665
2022-01-21,momentum_1,0.347667892832617,0.19999999999999998
2022-01-24,momentum_1,-0.6424403222872224,-0.6606060606060605
2022-01-25,momentum_1,0.01108508766991923,-0.01818181818181818
2022-01-26,momentum_1,-0.5312777768872451,-0.38181818181818183
2022-01-27,momentum_1,-0.07382015058980737,0.10303030303030303
2022-01-28,momentum_1,-0.3813701647868137,-0.3696969696969697
2022-01-31,momentum_1,-0.486309650987632,-0.6606060606060605
2022-02-01,momentum_1,0.1279830046932642,0.16363636363636364
2022-02-02,momentum_1,-0.2939223724021692,-0.01818181818181818
2022-02-03,momentum_1,0.43517617298472494,0.19999999999999998
2022-02-04,momentum_1,-0.1426312835438277,-0.09090909090909088
2022-02-07,momentum_1,-0.2181323417807174,0.006060606060606061
2022-02-08,momentum_1,0.08312754831581058,0.29696969696969694
2022-02-09,momentum_1,0.024056038187669875,0.10303030303030303
2022-02-10,momentum_1,0.04710853577012072,0.006060606060606061
2022-02-11,momentum_1,-0.2864721571240164,0.06666666666666665
2022-02-14,momentum_1,-0.5952887026317097,-0.8666666666666665
